,_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25,_c26,_c27,_c28,_c29,_c30,_c31,_c32,_c33,_c34,_c35,_c36,_c37,_c38,_c39,_c40,_c41,_c42,_c43,_c44,_c45,_c46,_c47,_c48,_c49,_c50,_c51,_c52,_c53,_c54,_c55,_c56,_c57,_c58,_c59,_c60,_c61,_c62,_c63,Label
0,93.172,96.818,107.36,107.24,130.62,125.05,106.01,100.12,97.138,130.35,141.55,117.13,131.79,138.67,125.89,114.61,135.11,138.32,145.98,116.58,105.57,116.97,120.71,128.65,141.44,133.56,136.07,107.98,94.84,119.2,128.46,123.61,135.69,122.78,114.68,100.69,89.155,93.423,100.77,115.93,147.46,148.04,133.95,109.0,94.434,83.747,91.427,105.23,138.69,164.74,152.48,125.32,95.688,88.624,125.58,131.9,100.81,115.09,112.98,109.81,117.44,116.28,125.6,130.33,0
1,97.442,119.34,138.17,153.95,129.93,132.8,152.1,144.13,99.731,109.47,136.15,146.19,127.53,112.53,135.04,140.93,96.552,115.03,136.3,128.28,110.32,112.16,122.56,120.67,107.8,145.9,157.25,128.3,127.07,134.71,116.85,96.844,104.38,128.3,138.48,134.93,138.39,125.95,107.15,105.82,114.79,118.26,119.0,131.28,144.85,125.54,102.96,130.49,141.3,155.95,129.13,131.85,144.09,132.78,114.92,130.39,150.08,168.88,144.72,123.42,133.91,125.37,106.29,116.4,0
2,97.908,122.53,133.06,140.36,156.02,172.29,168.44,137.08,104.35,108.57,128.16,156.52,167.81,169.16,185.37,183.44,134.0,134.16,144.94,174.37,188.06,173.0,167.2,183.68,127.55,131.28,141.71,152.42,171.36,181.17,170.8,159.35,109.75,115.71,120.78,136.45,161.58,179.0,152.18,118.33,125.21,131.95,120.86,126.81,149.93,166.69,152.54,113.8,154.56,161.28,137.02,103.28,128.32,169.39,194.05,193.11,134.25,143.52,132.67,116.05,124.33,146.33,168.61,189.81,0
3,101.59,109.46,122.83,105.27,94.91,92.961,105.93,107.63,104.92,116.6,105.98,106.9,119.46,116.74,93.355,78.939,98.92,98.602,98.676,110.65,132.07,127.51,102.37,107.18,95.007,124.21,116.21,97.702,109.08,112.6,107.47,113.12,112.37,131.35,122.44,99.063,105.82,121.23,115.39,100.27,132.75,126.34,129.08,103.27,105.35,127.34,111.16,103.52,130.51,117.06,110.85,87.858,89.478,108.72,104.73,121.92,119.72,92.235,85.096,87.64,116.86,111.46,108.13,125.91,0
4,102.28,111.16,129.41,152.99,166.04,169.88,161.77,138.85,134.14,122.47,127.07,144.53,150.22,173.65,197.65,148.84,164.67,179.4,145.51,126.55,137.91,161.19,172.86,147.74,138.76,148.58,141.62,146.89,155.1,146.26,139.97,136.55,127.78,124.29,138.86,152.7,148.55,155.3,167.6,142.65,146.93,156.32,140.99,123.21,131.07,165.37,187.11,181.69,128.46,153.98,154.87,131.51,136.71,159.12,181.95,185.0,100.52,124.39,126.43,137.18,148.37,152.09,168.08,161.34,0
5,102.55,136.44,139.35,142.36,171.75,193.77,184.06,157.04,130.9,145.12,148.31,138.44,159.46,181.74,171.28,136.35,159.59,162.82,167.19,160.04,143.76,160.84,168.72,137.02,135.76,141.51,164.6,149.55,127.76,150.83,172.77,165.4,133.43,125.88,143.51,132.61,120.97,142.86,167.33,186.28,157.59,136.11,146.24,167.86,135.59,128.65,152.26,182.24,159.52,167.4,176.18,186.24,154.34,118.64,133.87,170.96,171.66,190.3,185.68,187.71,162.89,107.59,115.11,153.07,0
6,109.47,131.52,151.44,166.83,181.28,191.3,190.5,155.69,134.91,121.48,144.84,159.92,168.58,167.18,153.38,115.58,163.77,141.14,130.91,132.75,142.9,130.63,132.34,128.84,163.4,153.96,133.54,128.56,116.27,117.2,150.56,147.85,144.46,150.11,151.73,154.62,133.92,137.07,143.08,125.04,121.2,135.54,149.82,132.25,138.23,171.52,173.7,127.98,163.54,151.38,132.62,120.22,135.85,167.83,164.15,152.0,180.99,172.4,145.47,136.13,161.45,158.14,142.59,178.21,0
7,111.46,96.899,113.14,113.88,108.56,135.92,162.0,164.42,137.29,136.96,128.66,129.13,135.77,131.96,138.15,144.08,133.54,158.62,150.69,137.67,142.71,112.32,124.3,149.93,129.42,143.14,127.27,111.55,114.07,116.36,115.05,138.05,126.07,122.59,108.54,114.56,124.93,118.83,101.83,110.98,123.33,113.97,122.03,142.57,170.61,168.54,111.34,64.668,122.61,120.22,127.49,137.85,155.29,168.61,141.46,104.11,116.17,123.97,124.63,124.66,127.8,137.71,134.04,120.53,0
8,111.47,139.42,178.46,157.81,150.72,155.32,136.43,126.56,142.76,131.11,155.08,142.52,139.37,149.21,145.72,162.08,178.06,147.86,142.6,125.65,139.64,140.35,154.81,188.88,145.19,150.85,145.9,132.22,150.55,150.35,147.93,169.06,158.14,129.29,122.35,154.59,191.13,189.92,157.39,155.66,179.23,145.38,136.47,171.85,189.93,201.56,175.49,159.28,192.84,154.19,151.22,172.31,178.48,184.93,178.72,144.4,154.2,128.07,145.96,167.55,174.29,177.91,194.04,186.47,0
9,113.78,115.6,141.0,158.56,147.76,140.93,159.05,172.27,127.59,128.75,118.49,123.34,129.56,119.46,122.29,139.32,158.79,165.3,120.25,120.45,132.09,133.95,140.45,146.56,148.54,137.53,111.53,124.69,128.42,135.66,158.91,179.53,138.87,132.12,118.53,131.42,131.04,128.81,153.91,170.51,145.97,148.23,138.54,127.71,130.16,139.66,148.77,152.49,150.23,150.45,144.73,131.41,143.18,155.31,153.54,136.68,145.1,144.16,142.33,154.0,169.57,171.67,171.08,146.32,0
