,_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25,_c26,_c27,_c28,_c29,_c30,_c31,_c32,_c33,_c34,_c35,_c36,_c37,_c38,_c39,_c40,_c41,_c42,_c43,_c44,_c45,_c46,_c47,_c48,_c49,_c50,_c51,_c52,_c53,_c54,_c55,_c56,_c57,_c58,_c59,_c60,_c61,_c62,_c63,Label
0,127.82,148.06,142.01,113.62,108.48,119.38,141.17,163.13,135.67,157.89,147.28,110.81,126.87,153.84,157.78,138.07,140.61,131.78,131.58,141.28,166.0,184.27,164.17,121.12,128.64,112.62,124.89,161.97,173.37,164.67,154.99,127.55,128.78,136.32,130.13,137.72,147.73,145.35,141.1,143.8,137.49,151.61,135.14,112.67,133.13,163.94,168.57,168.85,153.26,142.73,117.05,112.86,151.01,181.1,181.36,180.5,166.64,171.91,142.12,122.72,140.79,166.35,163.94,156.06,0
1,134.93,155.17,142.04,150.94,180.43,179.6,143.52,150.28,160.15,179.78,178.16,159.32,176.3,184.62,157.14,147.03,148.55,160.9,175.74,159.87,156.23,147.06,139.81,158.43,128.89,161.24,164.07,153.18,156.84,142.72,131.58,167.68,110.49,128.52,135.82,137.34,164.27,172.66,147.52,151.86,126.04,134.38,127.46,125.77,150.88,173.4,178.47,156.17,152.27,179.46,174.82,141.52,173.43,176.61,173.0,167.28,139.06,167.64,165.99,150.2,178.9,182.49,155.12,138.26,0
2,136.92,163.58,171.3,173.83,193.81,200.89,177.62,142.1,135.01,140.63,171.27,180.07,192.64,191.96,174.6,157.3,141.03,133.55,187.69,207.2,190.19,195.39,192.42,169.69,163.77,142.02,156.12,187.79,183.84,181.73,182.88,180.38,159.19,153.86,136.94,166.2,182.29,197.88,173.81,163.43,169.73,140.57,138.02,169.85,187.8,216.44,175.54,154.1,174.64,155.84,149.61,172.68,188.26,202.65,180.49,176.33,171.59,153.05,154.31,176.13,170.93,172.75,181.29,185.48,0
3,106.99,148.5,146.37,139.02,163.45,166.82,129.86,103.77,101.58,111.44,132.01,166.92,179.62,151.29,145.14,153.97,102.83,91.589,128.06,156.15,169.66,147.22,145.86,173.76,121.19,92.289,109.06,148.89,157.26,159.78,157.43,159.14,156.81,128.64,96.636,116.8,152.54,171.55,177.51,144.53,166.42,145.65,107.28,104.1,140.58,145.38,156.82,150.25,149.33,127.1,109.31,133.9,156.47,140.14,129.05,157.82,134.95,125.57,102.47,127.53,159.15,165.91,152.58,166.11,0
4,141.62,137.65,148.38,149.46,137.36,155.77,158.3,141.46,167.79,178.71,170.75,135.04,119.23,152.91,167.23,159.15,162.33,170.27,164.29,140.64,146.05,151.51,140.32,144.22,149.9,161.17,172.79,176.13,174.2,161.4,132.15,145.64,143.47,170.7,198.73,195.55,156.1,135.1,139.88,151.41,133.6,156.34,162.12,155.26,124.41,110.59,151.97,179.35,144.69,140.26,145.87,126.57,120.69,139.28,155.66,165.4,141.47,137.02,143.95,144.13,161.93,164.14,165.0,161.18,0
5,146.89,166.85,166.4,138.25,129.39,150.0,159.97,157.51,152.27,165.8,149.08,133.21,133.27,147.38,148.69,127.16,156.39,148.86,127.92,130.18,137.34,136.51,136.3,134.96,173.97,150.54,128.27,130.84,140.36,132.92,121.4,134.72,147.77,131.05,139.31,145.37,151.38,141.91,122.23,110.26,150.2,136.48,142.48,137.95,145.58,152.23,158.1,147.97,146.17,162.61,157.21,129.71,144.01,139.18,136.04,149.95,164.76,185.64,185.96,138.37,126.55,123.04,125.09,137.28,0
6,151.35,132.75,147.3,169.76,170.54,164.85,173.45,174.55,153.0,134.76,150.99,162.48,151.78,162.75,167.64,182.95,175.93,170.14,157.5,160.71,179.12,185.7,184.79,162.08,150.19,180.16,181.88,179.3,184.48,186.72,194.21,140.53,150.25,163.03,179.21,197.67,190.77,205.33,197.07,119.7,169.24,163.76,173.66,185.99,184.43,198.96,196.87,126.92,165.0,152.09,158.21,157.46,158.84,180.72,179.98,134.99,166.47,141.02,110.74,116.26,154.97,177.76,173.33,142.02,0
7,168.94,144.42,131.1,148.59,164.27,184.7,159.94,133.43,172.64,156.99,164.84,146.55,151.95,173.73,159.86,150.81,158.31,164.68,174.91,151.48,128.41,153.7,169.85,166.49,148.13,162.64,165.15,135.36,116.74,139.3,177.51,171.14,160.3,174.65,156.38,130.62,115.6,128.23,152.44,160.64,171.47,174.22,140.42,133.96,152.64,136.96,151.56,177.73,184.23,174.94,155.22,125.97,159.36,159.66,169.81,208.46,171.26,194.73,175.86,132.7,167.57,177.37,159.72,181.56,0
8,92.959,95.399,97.821,101.76,105.0,105.09,103.45,99.313,100.21,102.22,103.23,108.9,113.03,109.11,106.55,102.3,102.33,101.73,106.08,109.63,110.89,104.8,105.13,107.87,110.19,109.0,106.76,103.85,100.87,99.22,100.51,101.69,114.1,115.41,112.09,106.32,103.21,103.28,103.73,103.35,107.18,111.22,112.29,110.4,100.75,102.21,108.88,108.33,109.76,109.49,109.16,113.32,106.44,106.96,108.38,108.66,112.32,112.63,112.6,114.16,115.2,112.74,111.34,110.53,1
9,99.143,98.028,97.143,97.578,96.716,95.224,97.393,98.799,100.55,97.876,99.787,101.43,100.34,100.04,101.58,100.63,100.81,103.26,102.28,105.95,110.75,109.68,108.36,109.46,93.103,99.5,98.801,99.215,97.567,95.775,97.855,98.777,102.69,103.59,103.69,100.89,99.416,98.629,97.208,96.996,106.43,105.28,106.79,104.31,102.98,102.01,102.6,105.07,102.96,103.41,99.927,103.22,102.45,102.84,102.51,101.18,106.71,102.12,103.48,102.74,102.87,104.89,105.43,105.03,1
